kommunenummer,navn,år,befolkning,latitude,longitude,fylke_navn_2019,fylke_navn_2020
0234,Gjerdrum,2019,6823,60.080513562346475,11.012956675636502,AKERSHUS,VIKEN
0235,Ullensaker,2019,38234,60.151298734950686,11.198406273662513,AKERSHUS,VIKEN
0236,Nes,2019,21885,60.1400785256216,11.502404296120977,AKERSHUS,VIKEN
0237,Eidsvoll,2019,24919,60.392406187122546,11.227560257620135,AKERSHUS,VIKEN
0238,Nannestad,2019,13682,60.23412439593665,10.961539334297731,AKERSHUS,VIKEN
0239,Hurdal,2019,2864,60.430109734220025,10.949668953154404,AKERSHUS,VIKEN
0301,Oslo,2019,681071,59.98206491261678,10.740127647502268,OSLO,OSLO
0402,Kongsvinger,2019,17823,60.21521895729001,12.21829952784718,HEDMARK,INNLANDET
0403,Hamar,2019,31144,60.95117913396982,11.143421947332959,HEDMARK,INNLANDET
0412,Ringsaker,2019,34488,60.9958424323831,10.850898795419388,HEDMARK,INNLANDET
0415,Løten,2019,7663,60.84927864896649,11.391048303520025,HEDMARK,INNLANDET
0417,Stange,2019,20916,60.64426110050254,11.333189740778435,HEDMARK,INNLANDET
0418,Nord-Odal,2019,5024,60.438294955976836,11.582404728925788,HEDMARK,INNLANDET
0419,Sør-Odal,2019,7879,60.22421162651485,11.754079210024903,HEDMARK,INNLANDET
0420,Eidskog,2019,6114,59.99609583384139,12.061699039655325,HEDMARK,INNLANDET
0423,Grue,2019,4646,60.44175271887812,12.226897152408787,HEDMARK,INNLANDET
0425,Åsnes,2019,7214,60.65141272913945,12.168268937327456,HEDMARK,INNLANDET
0426,Våler,2019,3705,60.78421555692163,11.951569761185889,HEDMARK,INNLANDET
0427,Elverum,2019,21191,60.959278149039655,11.736420348440488,HEDMARK,INNLANDET
0428,Trysil,2019,6607,61.32860583899153,12.288639030142553,HEDMARK,INNLANDET
0429,Åmot,2019,4407,61.25523976583478,11.500338061230345,HEDMARK,INNLANDET
0430,Stor-Elvdal,2019,2459,61.5892175677902,10.782035263564847,HEDMARK,INNLANDET
0432,Rendalen,2019,1791,61.819255390532135,11.277135190446906,HEDMARK,INNLANDET
0434,Engerdal,2019,1286,61.98248440520573,11.954340095112649,HEDMARK,INNLANDET
